,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,strength,switching_ratio,Stalk_angle,mem_layer
0,30.0,1.0,4.081038554004383,0.20128491702480086,15.0,8.667121986628153,14.903437039659865,22.60558319091797,1.0115531345010453,-14.661709005759093,5.0
1,30.0,1.0,7.592573388763088,1.1285130497474025,15.0,5.425838866772436,11.595270341754627,25.049665451049805,1.0683026945173553,-14.654446403441469,5.0
2,30.0,1.0,9.567544093959194,1.4052474436242839,15.0,3.638765608624773,11.573507365706192,26.041067123413086,1.0581140408662557,-6.396427570666461,5.0
3,30.0,1.0,8.82749078918809,2.6672692624928973,15.0,3.9278104260862428,14.165588020695388,24.340530395507812,0.9851459016173241,18.29361937915571,5.0
4,30.0,1.0,3.950439429224635,2.815068014218218,15.0,4.404964117030379,14.445580747219022,23.842771530151367,0.9988041975335276,40.865611030374026,5.0
5,30.0,1.0,6.41726464640118,0.8699708196070413,15.0,4.534127117690495,13.635497410885808,23.869098663330078,1.0637256231142012,16.12909178820083,5.0
6,30.0,1.0,5.405513305652353,1.1911113753605764,15.0,9.456970940354509,11.459258184516809,24.63111686706543,1.0354387100384916,25.336411910224378,5.0
7,30.0,1.0,9.981809282133241,1.5962925163353376,15.0,8.808904567389277,12.794331159305315,25.94792366027832,1.0286172333234183,17.651207230259025,5.0
8,30.0,1.0,6.519972806792986,1.0796071189372602,15.0,3.8046574753894573,14.706252169143617,24.649295806884766,1.0581682930174385,8.950081212797642,5.0
9,30.0,1.0,3.303487461510373,0.6350070160799967,15.0,3.0713520961917053,14.07664985191319,23.524669647216797,1.017028170893227,-16.17155281543863,5.0
10,30.0,1.0,9.21233480767698,0.12296670221695641,15.0,4.456362437676598,12.897431065511517,16.489973068237305,1.1448731127476541,10.475420464923268,5.0
11,30.0,1.0,5.685483872223824,0.33647125169082137,15.0,6.684550640272975,12.556923433580916,21.269758224487305,1.13489160932747,-42.482223901399706,5.0
12,30.0,1.0,9.749088303024282,1.7938866501771993,15.0,6.790774259132692,13.45291535398036,25.38787841796875,0.9757875579198286,-9.417511643865815,5.0
13,30.0,1.0,7.84246052879475,0.4407453172170477,15.0,5.707756698344071,11.578309468726115,19.98619842529297,1.2833406633674778,36.14591963293218,5.0
14,30.0,1.0,2.1403326903692497,2.8754340008776813,15.0,6.231616084414404,13.422702252617167,23.55708885192871,0.9877207270940533,-42.20379273941239,5.0
15,30.0,1.0,4.461221547368036,1.4282186878496377,15.0,8.258688226444761,11.907306000256012,24.275962829589844,1.008758278056465,19.992888526880225,5.0
16,30.0,1.0,6.465321880313515,2.7721027884752827,15.0,3.680531406488461,14.565040025311008,23.981098175048828,0.9919028927774681,6.336244036946262,5.0
17,30.0,1.0,8.464088837381206,2.205547704132165,15.0,5.919503023488556,12.122319047066677,24.579587936401367,0.9780696055444965,-9.271174730982125,5.0
18,30.0,1.0,3.645089947237441,0.12755803432026652,15.0,4.329925879537047,13.453589626009544,22.68589973449707,1.0113877308934291,-35.78130544914252,5.0
19,30.0,1.0,4.44317563817077,2.769348583079807,15.0,6.0429785791811454,11.363132641302375,23.73151206970215,0.9911913115245142,-13.90403347309794,5.0
20,30.0,1.0,8.515547836904986,0.919829791714757,15.0,6.278660360056754,11.008137768787696,24.013263702392578,1.1094404606579766,-1.6165058354709387,5.0
21,30.0,1.0,7.602265465883926,2.654121128020131,15.0,8.343876734543919,13.877756877868208,24.248994827270508,0.9911559294261224,8.617068821734428,5.0
22,30.0,1.0,9.850239216854737,1.2316505329542933,15.0,8.522034098522344,13.490138512042565,26.00758934020996,1.1391125869175374,-39.04782575054671,5.0
23,30.0,1.0,5.50666502815597,2.323285066868222,15.0,8.793497190717083,11.090007165738221,24.056060791015625,0.9936782565952308,13.525927167797647,5.0
