,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,strength,switching_ratio,Stalk_angle,mem_layer
213,30,1,0.64445708,1.830782903,12.8097052,6.996376559,11.05843925,17.23933601,0.998649813,-15.93845767,5
214,30,1,9.509961605,1.901685757,11.69941243,2.34506232,14.67669085,14.68414974,0.890956037,3.018472242,5
215,30,1,3.190708243,1.700466672,17.17725909,2.692803031,14.41302654,31.2375946,0.998455997,42.91947338,5
216,30,1,5.810520573,0.521680895,19.63098344,6.176789259,12.30768725,38.73291397,1.029867953,-34.15763461,5
217,30,1,6.039653659,2.417685247,14.95042012,2.713919307,11.35463179,23.83798409,0.987527633,-16.11714212,5
219,30,1,1.233450578,0.151360911,19.12580133,8.767696876,12.78936545,37.88327789,0.99773946,-45.49846185,5
220,30,1,9.40833857,0.765241932,15.92292561,7.584345749,11.72436566,25.34679794,1.131374314,-9.998228488,5
221,30,1,7.891754746,0.199326573,18.90409333,4.025510489,13.71141602,32.17631912,1.050924393,-19.59576438,5
222,30,1,7.42576586,1.004067586,13.3562958,2.379640664,13.30489903,19.653368,1.106951756,-12.07714882,5
225,30,1,2.134993702,1.056285891,17.81786279,6.313233437,11.74239269,33.09260178,0.997233275,-32.94589007,5
226,30,1,8.230195476,1.307154174,15.56104509,6.344102402,14.76291344,27.41044044,1.068035935,20.62897075,5
227,30,1,1.788871349,0.452980657,18.77403079,4.390182233,13.29154557,36.44319534,1.002616064,-26.17625933,5
228,30,1,7.53395106,2.848663506,11.83994523,7.116583061,11.70800062,15.01400566,0.956197025,-22.28278389,5
229,30,1,2.292965469,0.469252544,14.33274739,3.987491358,11.15845086,21.5995369,1.00883449,-27.93537239,5
230,30,1,7.195462789,0.150215831,16.96758296,8.486462995,11.23280972,25.8909874,1.043220017,8.638123847,5
231,30,1,6.012673017,2.630691181,11.91221242,4.078816357,14.52156888,15.3231554,0.9799587,-7.399133862,5
232,30,1,5.659060236,0.020691853,15.15447623,7.73667495,14.85442031,21.79460716,1.057340962,15.64555266,5
233,30,1,5.472156937,0.50838102,19.00258747,9.105331254,11.05706794,36.28209686,1.025429341,-6.453302329,5
234,30,1,4.119106508,1.933825901,15.50952604,5.002084725,11.05249774,25.53206825,0.99683431,19.21045681,5
235,30,1,8.151971459,0.575085364,11.35315759,2.365273146,13.683729,10.1185894,1.192299511,-3.217411059,5
236,30,1,4.205625691,2.145376191,16.25359988,2.728652659,14.21432142,27.8765564,0.992363227,-34.3059855,5
237,30,1,9.03834752,2.730161867,14.67625257,5.702392176,13.84506202,22.95290756,0.955842822,41.49868035,5
238,30,1,5.274705268,0.414637083,19.14634288,9.732752273,14.99604936,36.52732086,1.064496086,21.58826407,5
240,30,1,4.375881461,0.846715198,12.00344297,4.287132675,12.0687184,15.46347904,1.040483922,-2.363309506,5
241,30,1,3.161832402,2.529345787,19.2688108,6.823946827,11.01726362,38.32434845,0.997808129,-1.28386985,5
243,30,1,6.060135462,2.037094186,17.80290186,7.537506931,13.09577424,33.56268311,0.98479632,-19.86159857,5
244,30,1,5.823952657,2.843736472,16.90899789,5.751255285,12.11615566,30.04728508,0.983090102,-28.72950244,5
246,30,1,4.053514676,2.595755091,12.52114687,4.951584829,12.34898531,16.75447845,0.994345225,-0.250022047,5
247,30,1,5.052328663,2.416643436,19.29297948,6.541094853,14.50428209,38.99401093,0.996601509,30.51048196,5
248,30,1,3.474304029,2.443565801,18.29180483,3.034813375,12.05795858,34.60972977,0.99797111,-4.030178335,5
249,30,1,7.430704916,1.252183016,15.95510012,8.55667503,11.09539445,28.42846489,1.059766022,28.67823959,5
250,30,1,4.758557431,2.662158313,19.60859354,4.283209417,13.44068107,40.28048706,0.996525986,43.84041155,5
251,30,1,8.594443575,0.500273853,15.84574736,6.095293152,13.96225435,22.7502861,1.12698504,-9.808685601,5
252,30,1,8.700792456,2.965123505,14.19867075,4.525234484,13.46720118,21.53713608,0.969613072,-3.344730393,5
254,30,1,3.082095415,1.210784883,15.42280229,9.150793332,13.79152209,25.23056793,0.993452329,-32.02450144,5
255,30,1,2.484688654,0.941911896,12.7476568,8.496042028,13.93362832,17.38336754,1.008808864,-0.755813696,5
257,30,1,2.70499141,0.29346852,18.93626607,5.861228374,12.46771549,36.97208023,1.016818298,-48.41502594,5
258,30,1,4.365463821,1.276567897,16.87045803,8.497684582,12.80300182,30.37430382,1.012884559,18.386603,5
259,30,1,2.407825822,1.775779185,12.84561883,2.617585283,13.27292254,17.52732658,0.996767604,-22.31795341,5
