,Pressures,P_prime,P_star,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,Stalk_angle,mem_layer,Negative Pressure Adh Force,Pos Pressure Adh Force,Neutral Pressure Adh Force,switching_ratio
113,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.8316084497,2.9080931181,15,8.4228748923,13.0770911666,-1.0668116416,10,4.481959343,1.8188320398,3.8532235622,2.464196388
114,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.7520983565,0.0927727352,15,8.6664016872,12.8619261375,-9.6869462631,10,4.1085982323,0.495098412,3.616351366,8.2985485964
115,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.9269354761,1.1992133253,15,2.3909432655,14.2090645269,-5.9676435143,10,4.856710434,1.9903334379,4.457224369,2.4401491436
116,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.4628188643,2.3074591314,15,9.2765052217,13.8260175547,23.4346416907,10,4.3565897942,1.8005024195,3.7579116821,2.4196522854
117,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.059651209,1.859959013,15,4.5181068275,13.6591709421,-40.510217148,10,4.815387249,1.5996700525,4.1957368851,3.0102377933
118,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.0004563914,1.5291913681,15,6.1317580585,11.8188347071,23.6288759789,10,0.8667857051,1.113825202,3.1735696793,0.7782062244
119,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.9242484805,1.905613373,15,7.6314920639,12.3015640873,-38.8443732618,10,4.9962248802,1.8215718269,4.5040745735,2.7428097022
120,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.9114102818,2.022698455,15,7.7568573228,12.4628539675,12.9490661637,10,4.6900029182,2.1379528046,4.3235087395,2.1936887046
121,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.9498851404,1.0143887492,15,2.7524614488,11.6688645315,44.1007865839,10,3.8119482994,1.2229565382,3.1792292595,3.116994088
122,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.459273346,0.1081691676,15,2.4451298624,14.8847733925,7.569961492,10,4.9091892242,2.1480557919,4.7082672119,2.2854104828
123,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.6323500592,0.8000363493,15,2.9432426177,11.8344299136,-34.0655056839,10,4.6595797539,1.2476685047,4.0067267418,3.7346296202
124,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.5742785625,2.1686462463,15,5.0551799172,13.0527252868,-27.0625292752,10,4.2129130363,0.9783270359,3.233263731,4.306242066
125,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.7424529342,2.8452258877,15,9.4278402128,14.9348584081,28.9727539965,10,4.4387969971,2.0487225056,3.9267096519,2.1666169943
126,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.5836784672,2.2102544872,15,2.9676400999,11.8875204547,-8.7204202291,10,4.201318264,1.0926010609,3.1630520821,3.8452445403
127,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.8454942885,0.6281225985,15,4.7783604309,14.6803671432,-27.8226575303,10,5.1214971542,2.0698451996,4.8390045166,2.4743382526
128,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.9602234215,1.6087599316,15,5.009336288,14.0139207439,12.0748789163,10,3.9525158405,0.7604846358,2.8961799145,5.1973644888
129,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.7604158691,2.2062791396,15,6.2824802687,12.4314280294,3.5411113483,10,4.9084854126,2.3719754219,4.6711440086,2.0693660513
130,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.6182415869,1.4931263171,15,8.7640899907,12.1853590994,6.950877233,10,4.7675056458,2.1337471008,4.4609303474,2.2343349143
131,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.6303187788,2.6919710767,15,7.0392647064,14.3764574967,-19.8635144426,10,4.7615895271,2.010494709,4.3319458961,2.3683671018
132,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.9506366587,0.4914291044,15,4.8322098813,12.1569009139,7.050701527,10,4.8351640701,2.1332178116,4.6152243614,2.2666058964
133,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.4653827006,2.5796745534,15,8.847643412,11.3643931831,-5.4370396366,10,5.05838871,2.5879712105,4.9667491913,1.9545768861
134,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.7626518638,2.1940193001,15,7.4120576699,12.3430157639,19.8419115545,10,4.6490912437,2.1736171246,4.2972750664,2.1388731213
135,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.4737828741,0.5533374029,15,6.0301329622,14.4602486833,-46.7471315479,10,4.7199745178,0.6987403035,3.6598386765,6.754976769
136,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.8390472433,2.3577401856,15,9.8448283269,11.9656006558,-18.0359141179,10,4.3175325394,1.3152500391,3.5598504543,3.2826705273
137,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.9593858423,1.3893409174,15,8.5533209927,11.1043113633,44.1104257336,10,3.5348176956,0.6614104509,2.5301008224,5.3443632326
138,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.3882703163,2.0086018924,15,5.5721906753,13.8683862965,-35.4394327444,10,5.1441364288,2.3036956787,4.9260129929,2.2329930452
139,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.3439030127,2.970457626,15,4.3871451132,13.9585691083,15.7547534656,10,4.6411294937,2.1710600853,4.1920256615,2.1377250336
140,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.7271348809,1.1179183519,15,4.5157142216,11.3503910498,29.2613524657,10,4.1753864288,1.4165506363,3.542121172,2.9475730142
141,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.4567429345,1.1068700081,15,2.4902717117,12.4473765406,33.7621415331,10,4.4660873413,1.9916687012,4.1218314171,2.242384659
143,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.0663889795,1.5619884206,15,4.6711056527,12.9252848444,-14.6443995105,10,4.5237941742,1.3878781796,3.8353190422,3.2595037813
144,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.394974619,0.9905709522,15,3.1721510126,11.6969428946,-17.9764536229,10,4.8446316719,1.8024088144,4.4031963348,2.6878650576
145,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.1731096122,1.1871750092,15,6.9049025318,13.5115844378,23.3518167284,10,4.4920153618,1.8975530863,4.0898575783,2.3672672951
146,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.7353240668,2.7074776208,15,6.3264625199,12.3555257847,24.6869030123,10,4.8239221573,2.4997363091,4.6686930656,1.9297724083
147,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.4133341651,1.0768093771,15,5.7229310946,13.4317216559,-34.550708503,10,4.7490315437,1.2697882652,4.0255322456,3.7400184533
148,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.1895369228,0.0858631717,15,9.0566476428,11.5615423118,-28.4714327914,10,4.6613268852,0.8836912513,4.0284495354,5.2748365207
149,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.1240212546,0.2182063093,15,2.8282295325,12.5869431992,22.7459767563,10,4.4563450813,1.6612106562,4.0893445015,2.6825887884
150,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.6240132651,1.4459074096,15,7.9859788738,11.6043855421,-6.3314490938,10,4.0509586334,0.793371439,3.1914315224,5.106005125
151,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.452917102,1.4475432521,15,4.6025819017,13.0394704115,-13.4705499791,10,4.4342656136,1.2260205746,3.6862728596,3.6167954319
153,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.3029091024,0.5847575658,15,9.9235612142,12.087041037,12.0980535723,10,4.8689699173,2.283506155,4.7023868561,2.132234199
155,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.6580982903,0.4937196587,15,2.4219549048,11.8432071451,36.8499823221,10,0.3034770191,1.48174119,3.6619200706,0.2048110838
156,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.7842168025,2.4036641233,15,2.691899133,13.8538293382,9.4856286179,10,4.7723155022,2.1978416443,4.3782615662,2.1713645815
157,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.0696221925,2.8434320486,15,3.7480219902,12.0475174414,-15.585532925,10,4.5208086967,1.7261893749,3.7875299454,2.6189529158
158,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.1031896364,2.345794486,15,8.4808863641,11.4542136474,22.9347646628,10,4.1005716324,1.3332878351,3.1940531731,3.0755336728
159,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.1338667504,1.0454615977,15,3.9494724034,12.6365386431,48.8192424269,10,3.9769449234,1.8739113808,3.5694155693,2.1222694756
160,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.3069327965,0.8097375717,15,4.7783289555,11.7415159921,24.9763129787,10,4.4370937347,1.7767188549,4.0218663216,2.4973527593
161,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.438330917,1.7957645174,15,3.3739948006,13.1808444336,41.0489417561,10,3.8352296352,1.0143524408,2.811445713,3.7809635792
162,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.8179063063,0.1759198872,15,5.1718068776,14.2842630231,20.8260319805,10,4.4834384918,1.763219595,4.1768593788,2.5427567302
163,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.5790448485,2.0299575969,15,5.6376133397,11.5238853937,25.0597625845,10,2.6801021099,1.7108845711,3.7114024162,1.5665008354
165,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.7069137636,1.9009121663,15,5.7147998521,13.9373999123,-43.5889707961,10,5.2364087105,2.3138356209,5.0402994156,2.2630858749
166,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.6878146017,2.7422850496,15,8.3715232064,14.9817735392,-27.4415571316,10,4.4224534035,1.4015498161,3.6240122318,3.1554022216
168,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.1376765421,0.9693607562,15,5.8913431127,11.8971624342,-5.1041654712,10,4.1265859604,0.8223593235,3.3948886395,5.0179840399
169,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.2779208026,0.7894080582,15,5.3436818115,13.4810296254,-36.8981760852,10,4.5244503021,0.8071616888,3.6503453255,5.605382868
